id,frecuencia,prod_cafe,prod_comida,prod_frias,prod_otros,atencion,pago_efectivo,pago_tarjeta,pago_transferencia,estudiante,edad,mejora
1,Nunca,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,20,vacío
2,1 a 3 veces,1,1,0,0,4,1,0,0,TRUE,22,Más variedad de comida
3,4 a 8 veces,1,1,1,0,5,0,1,0,TRUE,21,Más mesas
4,Más de 8 veces,1,1,1,1,3,1,1,0,TRUE,24,Mejorar la atención
5,Nunca,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,30,vacío
6,1 a 3 veces,0,1,1,0,4,0,0,1,TRUE,19,Más opciones saludables
7,4 a 8 veces,1,0,1,0,2,1,0,0,TRUE,23,Bajar los precios
8,Más de 8 veces,1,1,1,0,4,0,1,1,TRUE,20,Más rapidez
9,Nunca,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,18,vacío
10,1 a 3 veces,0,1,0,1,3,1,0,0,FALSE,35,Mejorar la limpieza
